Poblacion,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100 y más
"    28069-Hiruela, La",55,0,0,0,0,1,1,1,5,1,4,9,6,7,5,5,3,1,4,1,0,1
    28070-Horcajo de la Sierra-Aoslos,179,14,4,0,5,9,12,12,23,18,11,10,10,17,10,8,5,4,4,3,0,0
    28071-Horcajuelo de la Sierra,80,3,0,2,2,6,5,3,6,4,7,8,7,7,3,5,1,3,6,2,0,0
    28072-Hoyo de Manzanares,7834,392,462,491,474,443,480,494,593,675,742,722,516,333,311,221,176,174,92,34,7,2
    28073-Humanes de Madrid,19404,1795,1576,974,825,1024,1282,2242,2711,1690,1289,1120,965,661,446,264,211,183,91,42,11,2
    28074-Leganés,186696,9783,9771,8276,7563,9179,10779,14331,18762,15943,13133,11995,9890,12180,13112,8876,6136,3948,1963,832,210,34
    28075-Loeches,8159,620,668,523,383,350,528,774,1047,907,681,518,342,223,172,123,115,107,52,20,5,1
    28076-Lozoya,591,9,23,22,25,24,24,37,52,54,61,46,39,40,33,23,30,19,20,8,2,0
    28901-Lozoyuela-Navas-Sieteiglesias,1196,69,69,59,46,45,64,81,139,132,81,70,74,55,54,38,52,37,20,8,3,0
    28078-Madarcos,47,2,2,2,1,1,6,0,1,7,7,2,3,1,2,5,4,1,0,0,0,0
    28079-Madrid,3165235,152009,146348,133926,129149,151981,196413,247068,277785,263103,251785,226428,190070,160260,157365,133576,128673,114019,68623,28720,6807,1127
    28080-Majadahonda,70359,4195,4974,4434,3794,3773,4222,4968,6086,6278,5895,4860,4067,3724,3508,2181,1404,974,608,321,82,11
    28082-Manzanares el Real,8182,572,577,437,346,342,403,590,934,966,769,608,420,319,277,201,183,133,67,30,5,3
    28083-Meco,13133,831,995,826,804,802,843,1014,1427,1343,1328,992,657,401,288,169,178,125,60,41,9,0
    28084-Mejorada del Campo,22763,1356,1448,1243,1169,1296,1589,2185,2473,1883,1854,1567,1602,1148,701,407,340,272,165,59,5,1
    28085-Miraflores de la Sierra,5890,291,393,313,262,288,306,432,562,617,563,479,343,261,223,184,154,123,57,27,12,0
"    28086-Molar, El",7983,559,487,432,309,409,574,805,964,801,634,532,374,310,234,182,147,137,60,25,6,2
"    28087-Molinos, Los",4374,224,222,255,198,256,259,292,302,365,399,380,303,210,212,157,128,120,64,22,5,1
    28088-Montejo de la Sierra,363,12,20,23,16,4,11,18,16,45,35,36,15,12,16,15,16,27,18,3,4,1
    28089-Moraleja de Enmedio,5032,329,314,279,292,298,324,424,444,454,460,360,349,231,157,114,86,68,26,16,6,1
    28090-Moralzarzal,12321,748,978,869,664,588,500,699,1176,1421,1319,899,645,445,440,314,262,186,108,46,12,2
    28091-Morata de Tajuña,7452,409,411,342,344,415,478,577,731,622,529,525,408,363,312,227,223,246,179,94,17,0
    28092-Móstoles,205712,10452,9930,8563,8416,10745,14868,19187,20046,15137,13958,13274,14593,16375,12860,6619,4430,3127,2006,908,186,32
    28093-Navacerrada,2862,149,182,119,107,125,132,189,260,284,247,234,207,160,147,111,90,50,41,20,7,1
    28094-Navalafuente,1194,90,82,50,48,56,60,104,126,109,112,83,70,59,42,31,26,23,17,5,1,0
    28095-Navalagamella,2465,162,169,132,133,144,129,189,244,239,229,178,128,108,80,66,58,40,25,9,3,0
    28096-Navalcarnero,26364,2248,1820,1422,1288,1265,1674,2773,3037,2370,1947,1648,1197,884,746,542,504,436,315,193,47,8
    28097-Navarredonda y San Mamés,129,0,2,6,2,7,4,4,6,5,10,19,17,9,7,2,6,11,5,7,0,0
    28099-Navas del Rey,2640,156,172,149,126,143,173,185,220,231,222,175,151,119,121,100,76,65,37,14,4,1
    28100-Nuevo Baztán,5959,283,402,378,360,328,335,348,474,579,612,557,420,281,223,151,98,77,38,11,3,1
    28101-Olmeda de las Fuentes,334,19,15,17,11,11,14,28,42,32,33,27,20,9,15,8,14,12,6,1,0,0
    28102-Orusco de Tajuña,1283,68,73,56,41,58,67,88,106,111,83,91,70,50,65,52,54,72,44,25,8,1
    28104-Paracuellos de Jarama,21718,2436,1911,1222,766,744,1199,2187,3112,2709,1696,1111,778,575,444,306,250,140,87,34,8,3
    28106-Parla,125323,10308,8303,6185,5484,6431,9002,14169,16013,10900,8323,6661,6748,6175,4383,2404,1624,1191,655,289,65,10
    28107-Patones,507,18,20,14,9,10,27,37,44,40,27,34,39,36,28,16,23,34,31,17,3,0
    28108-Pedrezuela,5119,449,362,244,181,207,320,538,667,548,451,319,224,183,127,81,97,60,35,17,9,0
    28109-Pelayos de la Presa,2502,129,138,137,110,111,149,161,209,213,204,173,135,126,116,120,111,73,59,19,6,3
    28110-Perales de Tajuña,2945,179,194,141,128,144,173,261,269,273,227,206,176,106,126,109,102,70,42,15,4,0
    28111-Pezuela de las Torres,795,58,33,39,28,35,52,71,77,62,57,39,56,42,26,27,32,34,19,6,2,0
    28112-Pinilla del Valle,205,6,8,9,7,8,9,9,17,12,16,18,16,13,15,11,8,10,6,6,1,0
    28113-Pinto,47594,3214,3236,2558,2112,2273,3112,4388,5584,4776,3871,2984,2398,2057,1658,1101,904,751,404,169,38,6
    28114-Piñuécar-Gandullas,172,3,9,6,8,9,10,10,13,15,21,11,8,9,5,6,13,9,2,4,1,0
    28115-Pozuelo de Alarcón,84360,4359,5546,5946,5471,4902,4544,4943,5775,6957,7275,6738,5135,4714,4254,3011,1986,1398,850,428,106,22
    28116-Pozuelo del Rey,1092,104,62,45,22,46,114,165,154,93,66,59,61,29,23,11,15,12,9,1,1,0
    28117-Prádena del Rincón,132,8,9,4,2,8,11,5,17,13,9,10,6,1,4,3,5,9,6,2,0,0
    28118-Puebla de la Sierra,83,2,4,4,1,1,6,2,7,10,10,8,7,6,7,2,2,3,1,0,0,0
    28902-Puentes Viejas,620,30,21,28,20,27,25,43,56,52,63,67,31,27,35,21,30,20,15,4,2,3
    28119-Quijorna,3221,248,295,246,147,113,138,232,370,378,266,186,127,132,85,88,71,46,33,13,6,1
    28120-Rascafría,1798,52,73,69,68,102,124,116,123,117,182,168,148,113,92,75,54,60,42,17,3,0
    28121-Redueña,281,16,19,12,12,14,13,19,24,41,17,23,9,7,17,18,12,5,2,0,1,0
    28122-Ribatejada,689,35,42,42,19,34,34,47,46,70,68,47,50,28,31,22,19,28,13,13,1,0
    28123-Rivas-Vaciamadrid,80483,5557,5585,5229,4505,4740,5638,7198,8142,7613,7413,6778,4963,2762,1666,879,718,558,347,162,26,4
    28124-Robledillo de la Jara,103,2,6,5,2,5,0,6,10,11,3,6,6,7,4,5,8,8,5,2,2,0
    28125-Robledo de Chavela,4037,182,227,238,202,166,181,247,340,387,365,314,254,207,189,158,131,129,82,31,7,0
    28126-Robregordo,52,0,2,1,2,0,3,7,4,3,1,2,2,4,3,2,6,7,2,1,0,0
"    28127-Rozas de Madrid, Las",92784,6253,7114,6278,4989,4570,5088,6278,8515,9503,8208,6557,5130,4458,3597,2132,1455,1150,854,488,140,27
    28128-Rozas de Puerto Real,493,14,15,16,17,25,26,31,43,37,40,40,20,28,31,33,24,27,20,4,2,0
    28129-San Agustín del Guadalix,12953,929,1060,929,775,658,650,945,1300,1497,1301,930,625,442,311,189,176,114,80,33,9,0
    28130-San Fernando de Henares,40781,1904,2206,2308,2193,2447,2935,3379,3492,3687,3807,3158,3008,2005,1295,934,806,644,403,141,25,4
    28131-San Lorenzo de El Escorial,18241,946,1118,1099,1027,1057,971,1102,1485,1644,1674,1457,1125,847,732,554,515,413,296,121,45,13
    28132-San Martín de la Vega,19092,1404,1339,1092,1056,1035,1325,1787,2142,1918,1711,1271,885,596,472,351,310,221,123,43,9,2
    28133-San Martín de Valdeiglesias,8516,468,490,465,412,456,483,599,667,713,669,554,469,409,374,304,317,311,210,112,28,6
    28134-San Sebastián de los Reyes,83329,5387,4825,4500,3887,4182,5212,7408,8981,7687,6600,5655,4761,4533,3665,2186,1634,1183,652,298,82,11
    28135-Santa María de la Alameda,1212,54,49,53,38,44,66,80,104,88,126,114,95,83,61,43,38,44,21,5,4,2
    28136-Santorcaz,833,30,57,46,40,37,39,66,83,79,82,45,48,30,33,37,41,28,6,5,1,0
"    28137-Santos de la Humosa, Los",2445,249,174,131,68,101,143,280,337,261,165,126,92,68,75,44,60,38,26,7,0,0
"    28138-Serna del Monte, La",94,2,3,4,5,0,10,8,6,4,7,10,12,11,0,4,2,3,3,0,0,0
    28140-Serranillos del Valle,3957,213,294,276,190,185,251,308,354,410,390,279,206,157,130,93,63,60,57,25,14,2
    28141-Sevilla la Nueva,8858,688,781,537,413,366,467,710,1092,1039,784,517,358,275,261,162,139,104,98,53,11,3
    28143-Somosierra,77,0,2,2,5,4,4,2,4,8,12,7,3,4,2,1,5,5,3,2,2,0
    28144-Soto del Real,8482,362,555,658,515,502,382,423,554,774,867,768,540,411,332,248,207,181,126,51,20,6
    28145-Talamanca de Jarama,3267,225,211,169,126,138,224,353,389,321,265,214,145,124,125,68,55,53,38,17,7,0
    28146-Tielmes,2617,145,150,122,110,162,188,208,250,217,195,191,129,109,87,84,82,82,68,26,11,1
    28147-Titulcia,1261,67,70,65,60,71,88,77,117,110,105,79,79,63,58,49,51,31,16,3,1,1
    28148-Torrejón de Ardoz,126878,7933,7634,6259,5372,6506,9245,12712,14229,11250,9667,7847,7079,6746,5244,3281,2477,1892,1034,380,86,5
    28149-Torrejón de la Calzada,7739,516,523,495,425,422,493,678,822,731,649,535,477,351,235,137,82,92,44,24,7,1
    28150-Torrejón de Velasco,4195,271,344,267,211,208,216,273,447,433,370,275,222,175,152,96,102,70,35,23,5,0
    28151-Torrelaguna,4828,281,316,239,218,227,313,358,499,471,368,324,279,204,181,142,124,137,86,41,20,0
    28152-Torrelodones,22838,1318,1700,1782,1546,1316,1171,1211,1695,2108,2185,1955,1424,997,828,564,437,291,188,88,28,6
    28153-Torremocha de Jarama,926,34,38,56,56,32,36,39,79,79,73,59,44,54,54,44,38,39,31,26,12,3
    28154-Torres de la Alameda,7939,486,565,495,423,383,488,703,815,715,651,479,442,307,262,156,156,189,136,65,18,5
